SL No,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks,Mission Name,Year
16,8/29/1991,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-1B,1991
15,6/12/1990,Delta 4925,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-1D,1990
14,7/22/1988,Ariane-3,GSO (Geosynchronous Orbit),Communication,Partial Failure in Orbit,INSAT-1C,1988
12,3/17/1988,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-1A,1988
10,8/30/1983,Shuttle [PAM-D],GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-1B,1983
9,4/17/1983,SLV-3,LEO (Low Earth Orbit),Earth Observation,Launch successful,Rohini Satellite RS-D2,1983
8,4/10/1982,Delta,GSO (Geosynchronous Orbit),Communication,Failed in Orbit,INSAT-1A,1982
7,11/20/1981,C-1 Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful,Bhaskara-II,1981
6,6/19/1981,Ariane -1(V-3),GSO (Geosynchronous Orbit),"Communication, Experimental",Launch successful,APPLE,1981
5,5/31/1981,SLV-3D1,LEO (Low Earth Orbit),Earth Observation,Launch successful,Rohini Satellite RS-D1,1981
2,6/7/1979,C-1Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful,Bhaskara-I,1979
